category,title,url,views,user
DC,FlashPoint,https://pt.wikipedia.org/wiki/Flashpoint_(comics),1000000,thiago
Marvel,guerra Infinita,https://omelete.uol.com.br/filmes/noticia/vingadores-guerra-infinita-jon-favreau-divulga-foto-do-set-junto-com-robert-downey-jr-e-gwyneth-paltrow/,10000,root
NFC Leste,Eagles,http://www.philadelphiaeagles.com/,,
NFC Leste,Redskins,http://www.redskins.com/,,
NFC Leste,Cowboys,http://www.dallascowboys.com/,,
NFC Leste,Giants,http://www.giants.com/,,
NFC Leste,Eagles,http://www.espn.com/nfl/team/_/name/phi/philadelphia-eagles,,
NFC Leste,Redskins,http://www.espn.com/nfl/team/_/name/wsh/washington-redskins,,
NFC Leste,Cowboys,http://www.espn.com/nfl/team/_/name/dal/dallas-cowboys,,
NFC Leste,Giants,http://www.espn.com/nfl/team/_/name/nyg/new-york-giants,,
AFC East,Buffalo Bills,http://www.espn.com/nfl/team/_/name/buf/buffalo-bills,,
AFC East,Miami Dolphins,http://www.espn.com/nfl/team/_/name/mia/miami-dolphins,,
AFC East,New England Patriots,http://www.espn.com/nfl/team/_/name/ne/new-england-patriots,,
AFC East,New York Jets,http://www.espn.com/nfl/team/_/name/nyj/new-york-jets,,
